timestamp,open,high,low,close,volume
2009-02-27,104.2000,109.2090,96.6000,96.8100,4777600
2009-02-20,109.8000,109.8000,98.6300,103.0700,3151700
2009-02-13,121.4700,121.6300,109.0900,111.6100,3141000
2009-02-06,106.6400,123.2700,105.5300,122.4900,3348900
2009-01-30,114.2000,120.0900,103.1500,108.8000,3684300
2009-01-23,114.0000,114.3200,96.1900,111.8500,7269900
2009-01-16,127.0200,128.8900,112.4900,117.1600,2797100
2009-01-09,138.0000,143.3200,126.4700,127.3000,3632300
2009-01-02,125.8200,140.0000,120.8800,139.1200,2302000
2008-12-26,136.0000,136.3150,124.1300,126.4000,1369600
2008-12-19,118.8000,136.7400,113.8300,136.4100,3145700
2008-12-12,129.9700,138.7700,114.0800,120.1600,2806400
2008-12-05,120.6000,128.5300,104.8000,128.3100,2759100
2008-11-28,111.9800,125.7499,106.8250,125.7100,1944700
2008-11-21,108.9300,113.6700,94.7800,108.9000,4826800
2008-11-14,128.7000,129.6300,105.4100,110.1200,4538500
2008-11-07,128.9000,147.9090,120.4200,125.5900,3127400
2008-10-31,112.2500,138.8700,107.0500,131.3400,3148400
2008-10-24,152.1100,152.9000,99.3900,116.5000,5149600
2008-10-17,169.9900,187.9700,132.0300,148.7200,3929100
2008-10-10,174.0200,186.2150,132.2200,159.0000,3843400
2008-10-03,198.0000,207.2400,166.8800,182.5000,3127700
2008-09-26,210.0000,210.5900,182.4700,201.0100,3028100
2008-09-19,201.3500,249.3700,169.2300,210.0000,8058000
2008-09-12,223.0000,225.6700,200.7500,203.0000,3901400
2008-09-05,220.9900,227.1000,202.8900,211.5500,1542700
2008-08-29,212.5000,219.3600,203.6300,217.2500,1571200
2008-08-22,216.7000,217.3900,204.4000,213.3000,1605200
2008-08-15,222.0000,233.9000,213.9200,216.7000,3746200
2008-08-08,217.8800,228.2500,214.5000,222.6300,2203600
2008-08-01,217.4300,226.5000,209.0700,219.3200,2648300
2008-07-25,217.0600,224.6300,204.0500,218.3000,3771600
2008-07-18,169.4300,222.8800,156.2000,218.0000,8837000
2008-07-11,169.9900,178.0100,161.3500,174.7100,4826200
2008-07-03,182.0700,182.0700,165.0000,169.5700,3814200
2008-06-27,205.3500,206.1000,176.6100,177.6000,5768100
2008-06-20,208.7800,212.7800,194.0700,197.0000,2440200
2008-06-13,215.7500,217.5400,200.7200,210.2500,2363300
2008-06-06,223.8000,223.8000,213.5100,213.5100,1887800
2008-05-30,208.9500,227.5100,208.1600,224.9900,1205500
2008-05-23,217.0000,219.9300,198.6100,208.5100,1879200
2008-05-16,214.2100,219.3300,211.6400,216.4000,1835300
